what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1340004996131
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1340004996131
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1340004996147
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1340004996178
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1340004996178
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1340004996209
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1340004996225
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1340004996240
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1340004996256
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1340004996272
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1340004996287
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1340004996303
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1340004996319
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1340004996334
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1340004996350
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1340004996350
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1340004996365
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1340004996397
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1340004996412
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1340004996428
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1340004996444
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1340004996459
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1340004996475
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1340004996490
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1340004996506
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1340004996522
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1340004996522
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1340004996522
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1340004996522
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1340004996537
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1340004996553
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1340004996553
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1340004996569
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1340004996569
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1340004996584
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1340004996584
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1340004996600
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1340004996615
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1340004996631
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1340004996631
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1340004996647
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1340004996647
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1340004996662
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1340004996662
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1340004996678
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1340004996709
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1340004996725
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1340004996740
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1340004996756
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1340004996756
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1340004996756
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1340004996772
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1340004996787
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1340004996803
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1340004996803
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1340004996819
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1340004996819
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1340004996834
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1340004996834
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1340004996865
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1340004996865
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1340004996881
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1340004996897
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1340004996928
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1340004996959
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1340004996959
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1340004996975
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1340004996990
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1340004997006
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1340004997022
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1340004997037
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1340004997053
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1340004997069
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1340004997084
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1340004997084
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1340004997084
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1340004997100
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1340004997100
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1340004997115
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1340004997131
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1340004997147
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1340004997147
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340004997178
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340004997194
os,sysinfo,,,"win32",1340004997194
arch,sysinfo,,,"x86",1340004997194
ws,sysinfo,,,"win32",1340004997194
locale,sysinfo,,,"ja_JP",1340004997194
processors,sysinfo,,,"2",1340004997194
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340004997194
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1340004997194
java.specification.name,sysinfo,,,"Java Platform API Specification",1340004997194
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340004997194
java.specification.version,sysinfo,,,"1.6",1340004997194
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1340004997194
java.version,sysinfo,,,"1.6.0_32",1340004997194
java.vm.info,sysinfo,,,"mixed mode, sharing",1340004997194
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1340004997194
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340004997194
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340004997194
java.vm.specification.version,sysinfo,,,"1.0",1340004997194
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1340004997194
java.vm.version,sysinfo,,,"20.7-b02",1340004997194
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1340005002209
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1340005002600
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1340005002678
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1340005003037
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1340005003194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005003381
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1340005014006
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1340005014350
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1340005014397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005016584
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1340005018615
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1340005018615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005023037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005028209
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340005029787
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340005029928
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1340005030178
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1340005041537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340005064350
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1340005066631
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1340005067131
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1340005067147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005067209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005067444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005067506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005074631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005076147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005076178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005076194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005077506
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340005085350
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340005093928
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340005094412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005094428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005094975
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340005096959
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340005098022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340005108022
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340005114381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005114694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005114787
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340005117834
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340005120178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340005122600
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340005126225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005126553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005126756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340005138850
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340005139694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005139959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005141553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340005148912
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340005150272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005150553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005150740
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340005153569
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340005155240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340005166444
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340005167600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005167959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005168131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340005178194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340005178772
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340005179944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005180225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005180569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005183194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005183225
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1340005183303
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1340005183350
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1340005183459
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1340005184522
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1340005184569
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1340005184740
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340005192334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005193662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005194647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340005196256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340008322069
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340008324334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340008346803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340008349709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340008356490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340008376147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340008378287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340008380350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340008402740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340008402740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340008403115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340008778319
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1340008778365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340008781303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009219725
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340009222272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340009222709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009225537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009228334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340009228381
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340009230256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340009253787
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340009257053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009257444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009257694
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340009266225
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340009269600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340009269834
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340009271319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340009273022
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340009274928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340009276537
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340009278209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009278553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009278787
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340009281709
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340009287803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340009290865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009292147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009292162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009292287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340009971865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340010044209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340010045053
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1340010051834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340010055865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340010056772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340010067678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340010069053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340010092178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340010112881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340010132584
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340010133850
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340010138381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340010148240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340010171412
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340010191897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340010194240
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340010194944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340010195365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340010195475
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340010197537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340010214631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340010227694
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340010232990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1340010244162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340010250022
